"T","Detector","Method","Gamma","h","Omega","Hset","Statistic","Critical value","Stat./CV","Reject?","First signal"
2,"MOSUM (h=0.2)","SSMS","","0.2","","","1070.39","1481.80","0.72","No","No signal"
5,"Weighted CUSUM","HAC","gamma=0.00","","InvSqrt","","82.14","9.70","8.47","Yes","28 Feb 2020"
5,"Weighted CUSUM","HAC","gamma=0.15","","InvSqrt","","218.30","15.16","14.40","Yes","27 Feb 2020"
5,"Weighted CUSUM","RSMS","gamma=0.00","","InvSqrt","","255.91","9.53","26.86","Yes","26 Feb 2020"
5,"Weighted CUSUM","RSMS","gamma=0.15","","InvSqrt","","680.11","15.79","43.07","Yes","24 Feb 2020"
5,"Weighted CUSUM","SSMS","gamma=0.00","","InvSqrt","","283.80","374.43","0.76","No","No signal"
5,"Weighted CUSUM","SSMS","gamma=0.15","","InvSqrt","","754.23","643.03","1.17","Yes","17 Mar 2020"
5,"Multiscale MOSUM","HAC","","","","H050_100_200","790.96","46.17","17.13","Yes","02 Mar 2020"
5,"Multiscale MOSUM","RSMS","","","","H050_100_200","3189.06","47.71","66.85","Yes","31 Jan 2020"
5,"Multiscale MOSUM","SSMS","","","","H050_100_200","2220.74","1921.69","1.16","Yes","17 Mar 2020"
5,"Page-CUSUM","HAC","gamma=0.00","","","","26.89","9.88","2.72","Yes","06 Mar 2020"
5,"Page-CUSUM","HAC","gamma=0.15","","","","46.20","11.34","4.07","Yes","02 Mar 2020"
5,"Page-CUSUM","RSMS","gamma=0.00","","","","70.68","9.04","7.81","Yes","02 Mar 2020"
5,"Page-CUSUM","RSMS","gamma=0.15","","","","136.02","10.52","12.93","Yes","27 Feb 2020"
5,"Page-CUSUM","SSMS","gamma=0.00","","","","82.45","326.73","0.25","No","No signal"
5,"Page-CUSUM","SSMS","gamma=0.15","","","","150.85","396.68","0.38","No","No signal"
5,"Full-CUSUM","HAC","gamma=0.00","","","","8.75","9.04","0.97","No","No signal"
5,"Full-CUSUM","HAC","gamma=0.15","","","","10.40","9.83","1.06","Yes","02 Apr 2020"
5,"Full-CUSUM","RSMS","gamma=0.00","","","","19.93","7.78","2.56","Yes","13 Mar 2020"
5,"Full-CUSUM","RSMS","gamma=0.15","","","","23.70","8.55","2.77","Yes","13 Mar 2020"
5,"Full-CUSUM","SSMS","gamma=0.00","","","","21.88","262.70","0.08","No","No signal"
5,"Full-CUSUM","SSMS","gamma=0.15","","","","26.01","293.27","0.09","No","No signal"
5,"MOSUM (h=0.1)","HAC","","0.1","","","677.55","43.76","15.48","Yes","02 Mar 2020"
5,"MOSUM (h=0.2)","HAC","","0.2","","","363.61","42.62","8.53","Yes","09 Mar 2020"
5,"MOSUM (h=0.1)","RSMS","","0.1","","","2271.15","44.81","50.69","Yes","27 Feb 2020"
5,"MOSUM (h=0.2)","RSMS","","0.2","","","1117.43","42.77","26.13","Yes","05 Mar 2020"
5,"MOSUM (h=0.1)","SSMS","","0.1","","","1851.97","1793.72","1.03","Yes","20 Mar 2020"
5,"MOSUM (h=0.2)","SSMS","","0.2","","","1070.39","1687.94","0.63","No","No signal"
