"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","SSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","ssms_weightedcusum_gamma_0_15_invsqrt",0.05,503.662795956579,541.578692186354,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.929990051719524,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","SSMS MultiscaleMOSUM (H050_100_200, Equal)","ssms_multiscalemosum_h050_100_200_equal",0.05,717.080620877706,1526.45464114679,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.469768705566632,"SSMS, KS, gamma=NA"
"Benchmark","RSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0)","rsms_fullcusum_gamma_0",0.05,8.82168028709425,4.39879168879447,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,2.00547807471008,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0)","rsms_pagecusum_gamma_0",0.05,70.675608801769,4.73593400438841,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,14.9232672449151,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0.15)","rsms_fullcusum_gamma_0_15",0.05,10.8607624017711,5.67095467969791,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,1.91515591557322,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0.15)","rsms_pagecusum_gamma_0_15",0.05,125.925692164684,6.39093222351127,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,19.7038065434997,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.1)","rsms_mosum_h_0_1",0.05,466.241036897937,36.4894897701128,TRUE,39,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-27,-12,-18,12.7774063116612,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.2)","rsms_mosum_h_0_2",0.05,774.899118754876,31.7745465963674,TRUE,39,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-27,-12,-18,24.3874170290589,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0, InvSqrt)","rsms_weightedcusum_gamma_0_invsqrt",0.05,212.868532390929,6.95130132457596,TRUE,36,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-24,-15,-21,30.6228319636128,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","rsms_weightedcusum_gamma_0_15_invsqrt",0.05,565.722524012754,13.0590613474419,TRUE,36,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-24,-15,-21,43.320305262489,"RSMS, KS, gamma=0.15"
